
id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
17,Ouali,Rachid,rachid.ouali_17@email.ma,1977-07-20,h,Agadir,0799256417,2019-12-14,instagram
18,Benali,Oumaima,oumaima.benali_18@email.ma,1962-05-11,F,Casablanca,0795027942,2019-01-25,email
19,Tahiri,Hamza,hamza.tahiri_19@email.ma,1972-12-12,H,Casablanca,0668932463,2019-04-28,tiktok
20,Qacemi,Karim,karim.qacemi_20@email.ma,1995-07-23,h,casablanca,0657470447,2022-08-29,instagram
21,Lyoussi,Hamza,hamza.lyoussi_21@email.ma,1966-10-30,H,Casablanca,0657500808,2023-11-19,google_ads
22,El Mansouri,Omar,omar.elmansouri_22@email.ma,1997-03-09,h,Casablanca,0676646808,2022-08-09,organic
23,Tahiri,Soufiane,soufiane.tahiri_23@email.ma,1998-02-08,M,Marrakech,0760078777,2020-06-02,email
24,Jamai,Fatima,fatima.jamai_24@email.ma,1989-12-09,0,casablanca,0676094630,2021-05-25,instagram
25,Bouchta,Aymane,aymane.bouchta_25@email.ma,2005-10-22,h,Tanger,0791909407,2020-04-09,facebook
26,Benchekroun,Bilal,bilal.benchekroun_26@email.ma,1982-04-11,h,TANGER,0642449176,2022-08-19,referral
27,Benali,Saad,saad.benali_27@email.ma,1996-06-16,m,fes,0718223738,2023-12-08,referral
28,Benali,Imane,imane.benali_28gmail.com,1971-01-12,Femme,Meknès,0768339882,2019-09-28,direct
29,Raisuni,Tarik,tarik.raisuni_29@email.ma,1954-03-25,M,casablanca,0792058764,2020-02-18,facebook
30,Lyoussi,Zakaria,zakaria.lyoussi_30@email.ma,1975-08-05,h,Kenitra,0641506270,2020-05-07,google_ads
31,Raisuni,Amina,amina.raisuni_31@.com,1986-08-27,0,FES,0623024227,2023-06-14,organic
32,Kettani,Zineb,zineb.kettani_32@email.ma,1950-06-07,0,Casa,0711360484,2022-03-28,referral
33,Filali,Sara,sara.filali_33@email.ma,1995-09-16,0,Tanger,0613653108,2020-12-27,google_ads
34,Benali,Mehdi,mehdi.benali_34@email.ma,1959-04-07,Homme,Tanger,0613898879,2019-12-27,google_ads
35,Ziani,Nadia,nadia.ziani_35@email.ma,1953-11-07,Femme,Casablanca,0766874683,2022-02-17,tiktok
36,Alami,Sanaa,sanaa.alami_36@email.ma,2006-01-10,2,Tanger,0753763398,2022-06-25,instagram
37,Wahbi,Samira,samira.wahbi_37@email.ma,1969-12-28,Femme,Rabat,0661462236,2019-09-07,organic
38,Tazi,Laila,laila.tazi_38@email.ma,1953-03-22,2,Mohammedia,0763469147,2023-05-07,google_ads
39,Benchekroun,Houda,houda.benchekroun_39@email.ma,2004-07-18,F,MARRAKECH,0695126506,2019-09-23,tiktok
40,Dahbi,Youssef,youssef.dahbi_40@email.ma,2007-09-24,h,Tanger,0734582938,2023-09-13,facebook
41,Alami,Khadija,khadija.alami_41@email.ma,2002-03-25,Femme,Marrakech,0780650443,2020-09-14,referral
42,Benchekroun,Rachid,rachid.benchekroun_42gmail.com,1983-03-04,M,Casablanca,0790226489,2021-09-18,google_ads
43,Idrissi,Houda,houda.idrissi_43@email.ma,1995-11-18,Femme,Fes,0677443288,2020-04-15,email
44,Sefrioui,Soufiane,soufiane.sefrioui_44@email.ma,1957-10-22,M,Marrakech,0611415171,2021-05-14,instagram
45,Benali,Amine,amine.benali_45@email.ma,2001-02-17,H,Casa,0751675385,2019-12-21,google_ads
46,Benali,Omar,omar.benali_46@email.ma,,1,Rabat,0774360219,2022-01-15,email
47,Alami,Mohamed,mohamed.alami_47@email.ma,1954-01-29,M,Tanger,0773915137,2024-05-21,facebook
48,Drissi,Nabil,nabil.drissi_48@email.ma,1999-02-28,H,Fès,0716146115,2019-05-20,email
49,Filali,Rania,rania.filali_49@email.ma,1990-04-20,F,FES,0766859427,2020-02-11,facebook
50,Mekki,Ayoub,ayoub.mekki_50@email.ma,1966-10-31,M,Marrakech,0724104773,2024-02-25,google_ads
51,Chaabi,Imane,imane.chaabi_51@email.ma,1971-01-10,0,Rabat,0691123324,2022-09-22,referral
52,Cherkaoui,Laila,laila.cherkaoui_52@email.ma,1966-04-29,0,Casablanca,0729114756,2020-05-20,tiktok
53,Jamai,Rachid,rachid.jamai_53@email.ma,1895-04-16,H,Marrakech,0677080344,2023-12-07,referral
54,Ouali,Hamza,hamza.ouali_54@email.ma,1985-08-06,M,Casablanca,0618674502,2019-01-31,google_ads
55,Guessous,Adam,adam.guessous_55@email.ma,2008-01-12,Homme,Meknès,0691488804,2020-03-26,facebook
56,Cherkaoui,Khadija,khadija.cherkaoui_56@email.ma,1970-05-01,Femme,Casablanca,0650478341,2019-04-26,organic
57,El Mansouri,Rania,rania.elmansouri_57@email.ma,1951-03-01,2,Fes,0654247603,2022-03-25,email
58,Naciri,Younes,younes.naciri_58@email.ma,2002-10-16,M,Kenitra,0744931350,2024-05-16,referral
59,Alami,Youssef,youssef.alami_59@email.ma,1997-08-07,h,Rabat,0650232081,2020-06-07,email
60,Cherkaoui,Khadija,khadija.cherkaoui_60@email.ma,1978-09-14,F,Rabat,0774604368,2022-07-13,email
61,Tahiri,Omar,omar.tahiri_61@email.ma,1965-07-16,H,Casablanca,0672691897,2020-03-10,instagram
62,El Mansouri,Sanaa,sanaa.elmansouri_62@email.ma,2003-01-09,f,Marrakech,0661900268,2019-11-17,google_ads
63,Chaabi,Omar,omar.chaabi_63@,1984-01-18,H,CASABLANCA,0768748063,2020-11-25,organic
64,Drissi,Samira,samira.drissi_64@email.ma,1969-02-27,fe,Meknès,0786330965,2021-02-05,facebook
65,Filali,Houda,houda.filali_65@email.ma,1973-09-24,2,Marrakech,0723170221,2021-09-18,organic
66,Dahbi,Salma,salma.dahbi_66@email.ma,1988-04-06,Femme,Tanger,0626964025,2023-12-03,instagram
67,El Mansouri,Ghita,ghita.elmansouri_67@email.ma,1993-12-27,fe,Casablanca,0656428776,2022-12-15,organic
68,Guessous,Mohamed,mohamed.guessous_68@email.ma,2008-01-28,m,Rabat,0745479743,2021-09-02,email
69,Hajji,Sanaa,sanaa.hajji_69gmail.com,2006-01-13,F,rabat,0747898212,2023-04-30,email
70,Ziani,Sanaa,sanaa.ziani_70@email.ma,1978-04-25,fe,Tanger,0781933009,2022-05-23,instagram
71,Alami,Saad,saad.alami_71@email.ma,1985-11-01,h,TNG,0746182981,2024-05-19,email
72,Filali,Amina,amina.filali_72@email.ma,1974-03-31,0,agadir,0699691375,2021-09-13,instagram
73,Lahlou,Karim,karim.lahlou_73@email.ma,1999-07-25,m,TANGER,0785458008,2021-03-23,facebook
74,Kettani,Omar,omar.kettani_74@email.ma,1997-05-06,Homme,Casa,0698099915,2019-05-07,facebook
75,KETTANI,Omar,omar.kettani_74@email.ma,1997-05-06,Homme,Casa,0698099915,2019-05-07,facebook
76,El Fassi,Chaimae,chaimae.elfassi_75@email.ma,1992-11-25,0,Casablanca,0618374578,2020-05-23,referral
77,Chaabi,Aymane,aymane.chaabi_76@email.ma,1987-08-30,h,FES,0758296563,2019-10-14,google_ads
78,Ouali,Oumaima,oumaima.ouali_77@email.ma,1951-12-23,Femme,RABAT,0639346600,2023-11-27,email
79,Sefrioui,Karim,karim.sefrioui_78@email.ma,1990-09-25,m,Sale,0619486726,2019-06-28,facebook
80,SEFRIOUI,Karim,karim.sefrioui_78@email.ma,1990-09-25,m,Sale,0619486726,2019-06-28,facebook
81,Chaabi,Karim,karim.chaabi_79@.com,1955-11-06,h,Casablanca,0733370455,2021-06-30,tiktok
82,Qacemi,Khadija,khadija.qacemi_80@email.ma,1963-12-05,F,Casa,0790364872,2019-03-29,google_ads
83,Sefrioui,Nabil,nabil.sefrioui_81@email.ma,1990-07-27,m,Tanger,0738369523,2019-09-11,organic
84,Guessous,Zakaria,zakaria.guessous_82@email.ma,1953-12-31,Homme,Casablanca,0642498451,2020-03-03,organic
85,Wahbi,Bouchra,bouchra.wahbi_83@email.ma,1974-09-27,2,Marrakech,0685112103,2023-04-28,direct
86,Tazi,Hajar,hajar.tazi_84@email.ma,1950-06-22,f,Fes,0633002534,2022-05-18,google_ads
87,Tahiri,Nabil,nabil.tahiri_85@email.ma,1996-05-26,1,Marrakech,0790313708,2019-04-18,instagram
88,El Fassi,Rania,rania.elfassi_86@email.ma,1979-02-12,0,casablanca,0760005330,2022-10-11,google_ads
89,Hajji,Loubna,loubna.hajji_87@email.ma,1963-07-24,fe,Meknes,0673858163,2020-07-23,referral
90,Wahbi,Ilyas,ilyas.wahbi_88@email.ma,1953-11-10,M,Tanger,0660853056,2023-03-23,facebook
91,Chaabi,Ghita,ghita.chaabi_89@email.ma,1973-11-01,2,Casablanca,0630948243,2023-08-22,organic
92,Dahbi,Ayoub,ayoub.dahbi_90@email.ma,1982-07-13,1,agadir,0710395567,2022-06-08,instagram
93,Lahlou,Hajar,hajar.lahlou_91@email.ma,2001-02-10,F,Tanger,0648176956,2024-01-11,google_ads
94,Jamai,Zineb,zineb.jamai_92@email.ma,1954-04-16,Femme,Rabat,0637698722,2022-04-22,instagram
95,Naciri,Khalid,khalid.naciri_93@email.ma,1989-03-13,m,Kenitra,0619194076,2023-08-24,email
96,Lyoussi,Soufiane,soufiane.lyoussi_94@email.ma,1989-09-06,H,Fes,0685174044,2023-06-14,email
97,Ouali,Khadija,khadija.ouali_95@email.ma,1991-10-27,Femme,Casablanca,0757063244,2019-06-04,organic
98,Bouchta,Adam,adam.bouchta_96@email.ma,1979-07-11,h,Marrakech,0774408259,2019-02-07,google_ads
99,Ziani,Khalid,khalid.ziani_97@email.ma,1966-06-09,h,TANGER,0718530384,2022-04-12,direct
100,ZIANI,Khalid,khalid.ziani_97@email.ma,1966-06-09,h,TANGER,0718530384,2022-04-12,direct
101,Sefrioui,Saad,saad.sefrioui_98@email.ma,2030-02-16,h,Tnja,0736165182,2020-07-06,email
102,Ouali,Meryem,meryem.ouali_99@email.ma,2007-03-26,fe,TNG,0680187866,2024-02-02,email
103,Berrada,Houda,houda.berrada_100@,1967-11-01,f,Tétouan,0714896634,2020-01-31,referral
104,Guessous,Zineb,zineb.guessous_101@email.ma,1997-09-03,2,Agadir,0725740625,2021-08-26,instagram
105,El Mansouri,Mohamed,mohamed.elmansouri_102@email.ma,1962-03-05,m,Fes,0612853196,2020-06-11,referral
106,Ouali,Mehdi,mehdi.ouali_103@email.ma,1950-06-24,1,Agadir,0659660168,2020-04-09,facebook
107,Naciri,Hamza,hamza.naciri_104gmail.com,1950-11-03,M,Fes,0740776982,2023-04-22,instagram
108,Cherkaoui,Aymane,aymane.cherkaoui_105@email.ma,2005-11-16,H,Casablanca,0744580774,2019-10-31,instagram
109,Dahbi,Bilal,bilal.dahbi_106@email.ma,1976-03-20,Homme,Fes,0739917697,2019-11-14,facebook
110,Dahbi,Bouchra,bouchra.dahbi_107@email.ma,1951-07-19,Femme,Tanger,0735094784,2020-12-05,referral
111,Dahbi,Najat,najat.dahbi_108gmail.com,1993-11-10,F,agadir,0780528363,2020-03-20,tiktok
112,Qacemi,Ilyas,ilyas.qacemi_109@email.ma,2033-03-13,Homme,agadir,0655536106,2021-03-17,referral
113,Benchekroun,Meryem,meryem.benchekroun_110@email.ma,1957-07-26,F,Casablanca,0787489798,2023-09-27,google_ads
114,Guessous,Khadija,khadija.guessous_111@email.ma,1980-09-21,F,Casablanca,0759803827,2020-01-30,google_ads
115,Idrissi,Hicham,hicham.idrissi_112@email.ma,2008-03-20,H,oujda,0691731702,2022-10-21,organic
116,Hajji,Khadija,khadija.hajji_113@email.ma,1992-11-08,2,Fès,0787982775,2021-04-15,facebook
117,Jamai,Adam,adam.jamai_114@email.ma,1957-07-10,1,TNG,0675344200,2022-12-01,facebook
118,Idrissi,Bouchra,bouchra.idrissi_115@email.ma,1992-02-06,0,Marrakech,0722969272,2020-09-01,organic
119,Tahiri,Bouchra,bouchra.tahiri_116@email.ma,2001-09-09,Femme,Casa,0741076814,2019-04-20,organic
120,Dahbi,Mohamed,mohamed.dahbi_117@email.ma,1992-05-19,M,Casablanca,0754538834,2022-04-06,tiktok
121,Filali,Adam,adam.filali_118@email.ma,2032-10-22,h,Rabat,0656283906,2019-11-04,referral
122,Kettani,Tarik,tarik.kettani_119@email.ma,1989-10-11,m,Rabat,0653515072,2020-08-14,tiktok
123,Mekki,Hicham,hicham.mekki_120@email.ma,1973-03-18,M,Meknès,0728618827,2020-01-14,tiktok
124,Filali,Mehdi,mehdi.filali_121@email.ma,1950-10-05,1,marrakech,0688807637,2021-09-15,referral
125,Bouchta,Hicham,hicham.bouchta_122@email.ma,1979-08-07,1,casablanca,0725742307,2019-01-30,referral
126,Benali,Hicham,hicham.benali_123@email.ma,1984-03-05,1,Casablanca,0669013771,2023-06-04,instagram
127,Bouchta,Hamza,hamza.bouchta_124@email.ma,1882-01-13,H,Casablanca,0614307446,2021-03-27,instagram
128,Lahlou,Othmane,othmane.lahlou_125@email.ma,1991-05-08,1,Oujda,0618152384,2020-11-18,facebook
129,Qacemi,Adam,adam.qacemi_126@email.ma,2004-10-14,m,Agadir,0732586071,2023-03-07,instagram
130,Guessous,Amina,amina.guessous_127@email.ma,1992-07-18,F,El Jadida,0717658742,2019-04-28,instagram
131,Wahbi,Najat,najat.wahbi_128gmail.com,1990-02-07,f,Agadir,0719480158,2019-07-26,facebook
132,Guessous,Loubna,loubna.guessous_129@email.ma,1976-05-02,Femme,Kenitra,0684996578,2019-11-13,tiktok
133,Mekki,Fatima,fatima.mekki_130@email.ma,1984-02-01,2,FES,0627931359,2020-08-23,tiktok
134,Lahlou,Soufiane,soufiane.lahlou_131@email.ma,1954-06-03,H,Tnja,0690634262,2021-03-17,direct
135,Raisuni,Fatima,fatima.raisuni_132@email.ma,2000-06-03,fe,Fes,0614603097,2021-11-05,email
136,RAISUNI,Fatima,fatima.raisuni_132@email.ma,2000-06-03,fe,Fes,0614603097,2021-11-05,email
137,Naciri,Rachid,rachid.naciri_133@email.ma,1981-03-21,H,Casa,0675137620,2020-12-10,google_ads
138,Naciri,Oumaima,oumaima.naciri_134@email.ma,1976-05-29,F,Rabat,0723003495,2022-04-12,google_ads
139,Lyoussi,Khalid,khalid.lyoussi_135@email.ma,1956-04-02,m,Tetouan,0736827499,2021-12-23,direct
140,Lyoussi,Khalid,khalid.lyoussi_136@email.ma,1984-11-06,H,Marrakech,0725052721,2019-06-28,facebook
141,Ouali,Adam,adam.ouali_137@email.ma,1979-10-07,h,Tanger,0724900988,2020-07-17,instagram
142,Wahbi,Younes,younes.wahbi_138@email.ma,1966-11-17,1,Casablanca,0656125647,2019-06-06,facebook
143,Berrada,Youssef,youssef.berrada_139@email.ma,1966-09-14,h,Rabat,0650503336,2022-12-02,referral
144,Guessous,Karim,karim.guessous_140@email.ma,1970-06-12,h,Marrakech,0712236829,2022-08-06,tiktok
145,Lyoussi,Bilal,bilal.lyoussi_141@email.ma,1981-11-20,Homme,TNG,0634960309,2023-07-02,referral
146,El Fassi,Amina,amina.elfassi_142@email.ma,1964-09-30,F,Casa,0682255014,2024-04-13,email
147,El Fassi,Mohamed,mohamed.elfassi_143@email.ma,1954-01-13,h,Casablanca,0724818289,2023-06-24,referral
148,Berrada,Nadia,nadia.berrada_144@email.ma,2000-09-16,2,Rabat,0738529759,2021-03-20,organic
149,Qacemi,Tarik,tarik.qacemi_145@email.ma,2028-08-24,H,casablanca,0796216991,2023-04-17,instagram
150,Lyoussi,Sanaa,sanaa.lyoussi_146@email.ma,1996-07-06,f,FES,0645231923,2021-07-11,organic
151,El Fassi,Nabil,nabil.elfassi_147@email.ma,2002-09-30,h,Casablanca,0681872914,2019-08-25,email
152,Chaabi,Ayoub,ayoub.chaabi_148@email.ma,1956-09-08,H,Tanger,0639643494,2023-09-17,email
153,Raisuni,Bilal,bilal.raisuni_149@email.ma,1953-07-02,h,Rabat,0777932400,2022-09-17,organic
154,Lyoussi,Hicham,hicham.lyoussi_150@email.ma,1953-02-08,m,Tanger,0610500980,2021-11-21,email
155,Lahlou,Nabil,nabil.lahlou_151@email.ma,1966-05-10,1,Oujda,0639733874,2019-04-21,google_ads
156,Sefrioui,Hajar,hajar.sefrioui_152@email.ma,1952-09-14,fe,Oujda,0777780123,2023-07-09,email
157,Ouali,Laila,laila.ouali_153@email.ma,1952-01-22,2,Fès,0791876744,2023-02-21,tiktok
158,Drissi,Amina,amina.drissi_154gmail.com,1973-01-11,Femme,Marrakech,0778482179,2023-10-27,referral
159,Idrissi,Laila,laila.idrissi_155@email.ma,1955-08-14,f,Salé,0783516068,2021-08-15,facebook
160,Sefrioui,Zakaria,zakaria.sefrioui_156@email.ma,1982-06-11,M,Marrakech,0780373756,2022-03-21,direct
161,Chaabi,Rachid,rachid.chaabi_157@email.ma,1986-01-06,m,Agadir,0697471374,2020-03-08,facebook
162,Ouali,Sanaa,sanaa.ouali_158@email.ma,1981-10-13,2,Agadir,0748502790,2019-10-01,organic
163,Idrissi,Mohamed,mohamed.idrissi_159@email.ma,1970-11-03,1,Tanger,0625899910,2021-10-17,facebook
164,Mekki,Mehdi,mehdi.mekki_160@email.ma,1978-08-16,H,Casablanca,0780684084,2024-05-21,referral
165,Lahlou,Laila,laila.lahlou_161@email.ma,1972-03-14,Femme,Marrakech,0678561175,2022-05-22,google_ads
166,Benchekroun,Najat,najat.benchekroun_162@email.ma,1988-04-18,2,Sale,0743383463,2019-08-20,tiktok
167,Tazi,Mehdi,mehdi.tazi_163@email.ma,1973-12-29,Homme,Casablanca,0685220640,2020-02-29,direct
168,Dahbi,Zakaria,zakaria.dahbi_164@email.ma,1988-06-23,m,Fes,0716968337,2021-09-17,referral
169,Qacemi,Othmane,othmane.qacemi_165@email.ma,1990-07-20,M,Oujda,0721735884,2023-12-25,direct
170,El Fassi,Younes,younes.elfassi_166@email.ma,1989-07-28,h,Rabat,0693141716,2024-04-14,tiktok
171,Sefrioui,Youssef,youssef.sefrioui_167@,1980-01-26,H,Rabat,0791622412,2021-07-03,instagram
172,Ouali,Amine,amine.ouali_168@email.ma,1976-12-04,M,Agadir,0762425555,2022-01-27,referral
173,Jamai,Houda,houda.jamai_169@,1972-03-26,0,Casablanca,0794015624,2022-04-05,facebook
174,Alami,Khalid,khalid.alami_170@email.ma,2001-07-19,m,Kénitra,0758031237,2020-12-10,direct
175,El Fassi,Youssef,youssef.elfassi_171@email.ma,1967-11-02,H,Casablanca,0757983037,2021-12-19,google_ads
176,Jamai,Mehdi,mehdi.jamai_172@email.ma,1965-02-09,h,Casa,0665061320,2019-04-24,instagram
177,Bouchta,Sara,sara.bouchta_173@email.ma,1974-10-25,fe,Rabat,0735166836,2020-12-27,google_ads
178,Lahlou,Bouchra,bouchra.lahlou_174@email.ma,1981-02-15,fe,Salé,0668422783,2022-02-12,organic
179,Tazi,Saad,saad.tazi_175@,1992-04-10,1,Casablanca,0625348558,2022-08-29,direct
180,Filali,Saad,saad.filali_176@email.ma,2006-09-20,m,Casablanca,0619696071,2019-05-13,email
181,Bouchta,Mehdi,mehdi.bouchta_177@email.ma,2007-03-15,Homme,Casablanca,0658952567,2022-07-20,facebook
182,Cherkaoui,Chaimae,chaimae.cherkaoui_178@email.ma,1964-09-22,f,Marrakech,0618485175,2021-08-30,organic
183,Wahbi,Khadija,khadija.wahbi_179@email.ma,1969-02-10,0,Tanger,0784975832,2023-11-16,google_ads
184,Ouali,Soufiane,soufiane.ouali_180@email.ma,2026-11-16,Homme,Kénitra,0691106069,2019-11-24,referral
185,Wahbi,Bilal,bilal.wahbi_181@email.ma,1970-09-27,m,RABAT,0670790970,2020-02-15,direct
186,Idrissi,Hicham,hicham.idrissi_182@email.ma,1991-06-04,h,CASABLANCA,0777742911,2020-10-28,facebook
187,El Fassi,Adam,adam.elfassi_183@email.ma,1983-09-08,H,marrakech,0615659707,2022-09-13,direct
188,Ziani,Soufiane,soufiane.ziani_184@email.ma,1974-01-31,m,Tanger,0617711251,2022-06-10,google_ads
189,Chaabi,Othmane,othmane.chaabi_185@email.ma,2007-05-12,Homme,casablanca,0677999747,2023-01-02,email
190,Jamai,Nabil,nabil.jamai_186@email.ma,1954-05-04,h,Marrakech,0795058664,2023-05-09,direct
191,Chaabi,Meryem,meryem.chaabi_187gmail.com,1951-07-06,f,Tnja,0718584457,2019-03-27,organic
192,Cherkaoui,Fatima,fatima.cherkaoui_188@email.ma,1966-11-03,f,Casablanca,0797521342,2021-10-14,tiktok
193,Jamai,Mehdi,mehdi.jamai_189@email.ma,1999-03-05,H,Tetouan,0677146822,2023-01-04,referral
194,Sefrioui,Rachid,rachid.sefrioui_190@email.ma,1964-07-22,M,Marrakech,0785644810,2022-05-28,direct
195,Benali,Oumaima,oumaima.benali_191@email.ma,2005-05-13,Femme,Tetouan,0615846158,2022-12-31,direct
196,Benchekroun,Younes,younes.benchekroun_192@email.ma,1953-01-06,M,Tnja,0631258063,2023-12-04,facebook
197,Mekki,Amina,amina.mekki_193@email.ma,1956-08-20,0,Fès,0748137041,2019-02-12,direct
198,Alami,Amina,amina.alami_194@email.ma,1970-11-13,fe,Tanger,0662155994,2022-05-06,tiktok
199,Benchekroun,Meryem,meryem.benchekroun_195@email.ma,2001-04-24,f,Tanger,0643369012,2020-03-31,organic
200,Naciri,Chaimae,chaimae.naciri_196@email.ma,1976-09-07,f,TNG,0630733247,2022-12-11,organic
201,Filali,Imane,imane.filali_197@email.ma,1973-08-11,f,agadir,0799218396,2020-09-23,tiktok
202,Bouchta,Youssef,youssef.bouchta_198@email.ma,1963-10-01,M,Tanger,0737465882,2022-05-13,google_ads
203,Drissi,Nadia,nadia.drissi_199@.com,1981-02-18,F,Fes,0746325084,2024-04-28,referral
204,Kettani,Karim,karim.kettani_200@email.ma,1997-10-07,H,Tetouan,0792903845,2023-08-01,direct
205,El Mansouri,Samira,samira.elmansouri_201@email.ma,1974-08-30,2,El Jadida,0648813789,2022-04-02,organic
206,Guessous,Zineb,zineb.guessous_202@email.ma,1979-07-15,Femme,TNG,0684212240,2020-11-11,direct
207,Filali,Salma,salma.filali_203@email.ma,1986-07-02,f,Casablanca,0787457173,2019-11-06,email
208,Wahbi,Amine,amine.wahbi_204@email.ma,1999-08-11,1,Fes,0787499490,2020-07-12,direct
209,Raisuni,Fatima,fatima.raisuni_205@email.ma,1955-12-13,Femme,oujda,0648035625,2019-01-18,direct
210,Alami,Rachid,rachid.alami_206@email.ma,2006-10-18,1,rabat,0615090096,2023-05-02,organic
211,Guessous,Sanaa,sanaa.guessous_207@email.ma,2003-06-19,F,Casablanca,0733087761,2023-10-13,facebook
212,Idrissi,Laila,laila.idrissi_208@email.ma,1952-02-18,2,Casablanca,0761559760,2022-03-11,referral
213,Lyoussi,Ghita,ghita.lyoussi_209@email.ma,1971-11-05,F,Oujda,0789142804,2019-06-29,organic
214,Berrada,Hicham,hicham.berrada_210@email.ma,1981-08-16,1,Tanger,0711473501,2020-12-30,email
215,Lahlou,Oumaima,oumaima.lahlou_211@email.ma,2001-03-17,fe,Tanger,0614561043,2023-06-27,direct
216,Lahlou,Wafa,wafa.lahlou_212@,2005-07-15,fe,Kenitra,0769033023,2021-01-06,direct
217,Naciri,Wafa,wafa.naciri_213@email.ma,1967-10-18,f,El Jadida,0680130507,2021-10-11,instagram
218,Lahlou,Laila,laila.lahlou_214@email.ma,1978-01-11,fe,Casablanca,0714051111,2020-03-23,tiktok
219,LAHLOU,Laila,laila.lahlou_214@email.ma,1978-01-11,fe,Casablanca,0714051111,2020-03-23,tiktok
220,Ziani,Ilyas,ilyas.ziani_215@email.ma,1955-11-24,M,Rabat,0775431383,2019-02-13,tiktok
221,Benchekroun,Adam,adam.benchekroun_216gmail.com,1972-04-15,m,marrakech,0786326356,2023-12-30,google_ads
222,Guessous,Amina,amina.guessous_217@email.ma,2004-12-01,0,Rabat,0623716490,2019-08-26,facebook
223,Raisuni,Wafa,wafa.raisuni_218@email.ma,1975-06-24,Femme,Casablanca,0625516399,2019-05-11,google_ads
224,RAISUNI,Wafa,wafa.raisuni_218@email.ma,1975-06-24,Femme,Casablanca,0625516399,2019-05-11,google_ads
225,Raisuni,Amina,amina.raisuni_219@email.ma,1978-06-16,F,Casa,0624478505,2022-03-15,organic
226,Kettani,Rachid,rachid.kettani_220@.com,1970-05-07,h,Agadir,0753258955,2021-04-19,organic
227,Ziani,Chaimae,chaimae.ziani_221@email.ma,1968-06-08,0,tanger,0781507898,2021-04-07,referral
228,Ouali,Karim,karim.ouali_222@email.ma,1997-05-19,h,agadir,0785241278,2019-09-12,facebook
229,Naciri,Rachid,rachid.naciri_223@email.ma,1969-04-10,M,Salé,0732950620,2024-05-10,tiktok
230,El Fassi,Aymane,aymane.elfassi_224@email.ma,1995-08-24,M,Casablanca,0799714110,2024-01-10,instagram
231,Sefrioui,Hicham,hicham.sefrioui_225@email.ma,2004-10-28,m,Rabat,0652008674,2024-06-04,referral
232,Ouali,Aymane,aymane.ouali_226@email.ma,1994-10-13,Homme,Fes,0745529139,2019-07-10,organic
233,Kettani,Zineb,zineb.kettani_227@email.ma,1988-12-28,fe,Fès,0724227413,2020-12-20,instagram
234,Idrissi,Rachid,rachid.idrissi_228@email.ma,1991-11-29,M,Meknes,0756239910,2022-04-06,email
235,Kettani,Othmane,othmane.kettani_229@email.ma,1991-09-10,h,Agadir,0667464310,2019-03-12,direct
236,Naciri,Salma,salma.naciri_230@email.ma,1995-09-07,F,Rabat,0678995161,2021-06-01,email
237,El Fassi,Samira,samira.elfassi_231@,1964-09-10,Femme,TNG,0612711442,2021-12-09,organic
238,Berrada,Karim,karim.berrada_232@email.ma,1981-12-15,h,Tanger,0738865351,2022-07-20,direct
239,Alami,Saad,saad.alami_233@email.ma,1974-07-12,Homme,Casablanca,0793085547,2021-04-09,facebook
240,Benali,Loubna,loubna.benali_234gmail.com,1957-10-08,f,Rabat,0683385611,2022-02-26,organic
